FromID,ToID,Relation_value,Relation_type
6566,6567,0.0408,VEP
6568,6569,0.0332,VEP
6570,6571,0.0292,VEP
6572,6573,0.028,VEP
6574,6575,0.0263,VEP
6576,6577,0.0362,VEP
6578,6579,0.0243,VEP
6580,6581,0.0293,VEP
6582,6583,0.0232,VEP
6584,6585,0.0231,VEP
6586,6587,0.0453,VEP
6588,6589,0.0371,VEP
6588,6589,0.0388,VEP
6588,6589,0.0412,VEP
6590,6591,0.0714,VEP
6590,6591,0.0739,VEP
6590,6591,0.0767,VEP
6586,6587,0.0423,VEP
6590,6592,0.0384,VEP
6590,6592,0.0432,VEP
6590,6592,0.0484,VEP
4953,6593,0.0486,VEP
6594,6595,0.0389,VEP
6596,6597,0.0374,VEP
6598,6599,0.03,VEP
6590,6591,0.079,VEP
6600,6601,0.02,VEP
6602,6603,0.027,VEP
6604,6605,0.019,VEP
3633,6606,0.024,VEP
6594,6595,0.043,VEP
6607,6608,0.0288,VEP
6594,6595,0.0356,VEP
6609,6610,0.0234,VEP
1222,6611,0.0345,VEP
6612,6613,0.0208,VEP
6590,6614,0.07,VEP
6570,6615,0.0254,VEP
6616,6617,0.0391,VEP
6618,6619,0.037,VEP
6576,6577,0.0366,VEP
6588,6620,0.0391,VEP
6135,6621,0.0351,VEP
6609,6610,0.0286,VEP
6616,6617,0.0268,VEP
6588,6620,0.0393,VEP
6607,6608,0.0274,VEP
6594,6595,0.0428,VEP
1222,6611,0.0355,VEP
6590,6614,0.0716,VEP
6624,6625,0.014,VEP
6600,6601,0.019,VEP
6602,6603,0.022,VEP
6626,6627,0.017,VEP
6604,6605,0.016,VEP
6628,6629,0.016,VEP
6630,6631,0.023,VEP
6632,6633,0.02,VEP
6588,6634,0.045,VEP
6635,6636,0.023,VEP
6590,6591,0.082,VEP
6637,6638,0.033,VEP
3633,6606,0.019,VEP
6594,6595,0.04,VEP
6598,6599,0.028,VEP
6632,6633,0.019,VEP
4953,6639,0.017,VEP
6590,6591,0.081,VEP
6637,6638,0.032,VEP
3633,6606,0.016,VEP
6598,6599,0.029,VEP
6635,6636,0.024,VEP
4953,6593,0.027,VEP
6570,6646,0.0255,VEP
6588,6647,0.0186,VEP
6594,6595,0.0361,VEP
6594,6595,0.0342,VEP
6596,6597,0.0338,VEP
6596,6597,0.0313,VEP
6607,6648,0.0295,VEP
6607,6648,0.0282,VEP
6576,6577,0.0278,VEP
6576,6577,0.0262,VEP
6630,6631,0.0255,VEP
6630,6631,0.0235,VEP
6616,6617,0.0223,VEP
6609,6649,0.0239,VEP
6650,6601,0.0209,VEP
6609,6649,0.0256,VEP
6609,6649,0.0279,VEP
6654,6655,0.026,VEP
6656,6657,0.02,VEP
6588,6634,0.047,VEP
6566,6567,0.0308,VEP
6566,6567,0.0304,VEP
6586,6658,0.0268,VEP
6659,6660,0.0186,VEP
6661,6662,0.0208,VEP
6663,6662,0.0208,VEP
4124,6664,0.018,VEP
4124,6664,0.029,VEP
6586,6658,0.0245,VEP
6586,6658,0.0233,VEP
6659,6660,0.0218,VEP
6570,6615,0.0204,VEP
6616,6617,0.0324,VEP
6618,6619,0.032,VEP
6576,6577,0.0367,VEP
6665,6666,0.0211,VEP
6135,6621,0.029,VEP
6640,6667,0.0079,VEP
6640,6668,0.0534,VEP
6674,6675,9460.76,VEP
6574,6675,9460.76,VEP
6676,6675,9460.76,VEP
6640,6677,0.002,VEP
6640,6678,0.002,VEP
6640,6679,0.002,VEP
6640,6680,0.0021,VEP
6640,6681,0.0018,VEP
6640,6682,0.0018,VEP
6640,6683,0.0021,VEP
1222,6611,0.031,VEP
6684,6685,0.016,VEP
4124,6664,0.015,VEP
6135,6621,0.017,VEP
6654,6655,0.023,VEP
6686,6687,0.024,VEP
6609,6649,0.021,VEP
6688,6689,0.014,VEP
6690,6691,0.016,VEP
6692,6693,0.016,VEP
6656,6657,0.015,VEP
6694,6695,0.019,VEP
6630,6631,0.019,VEP
6696,6697,0.016,VEP
6698,6699,1.658,VEP
6700,6701,1.6417665,VEP
6600,6601,0.018,VEP
6602,6603,0.021,VEP
6686,6687,0.021,VEP
6702,6703,2.18,VEP
6704,6705,3.304,VEP
6706,6705,3.304,VEP
6707,6708,1.23,VEP
6698,6709,1.16,VEP
6710,6711,1.159,VEP
6712,6711,1.159,VEP
6713,6714,1.44,VEP
6715,6716,1.128,VEP
6717,6716,1.128,VEP
6672,6718,3.38,VEP
6706,6718,3.38,VEP
6707,6708,1.2,VEP
6706,6719,2.416,VEP
6672,6719,2.416,VEP
6704,6719,2.416,VEP
6720,6719,2.416,VEP
6713,6714,1.599,VEP
6712,6721,1.164,VEP
6710,6721,1.164,VEP
6640,6722,0.0537,VEP
6640,6723,0.0448,VEP
6640,6724,0.1038,VEP
6640,6725,0.1806,VEP
6640,6726,0.0854,VEP
6640,6727,0.2241,VEP
6640,6728,0.1126,VEP
6640,6729,0.1216,VEP
6640,6730,0.1076,VEP
6640,6731,0.0436,VEP
6640,6732,0.0412,VEP
6640,6733,0.0415,VEP
6640,6734,0.0904,VEP
6640,6735,0.0908,VEP
6676,6736,0.1755,VEP
6676,6736,0.0819,VEP
6676,6736,0.1252,VEP
6676,6736,0.0834,VEP
6676,6736,0.1733,VEP
6676,6736,0.126,VEP
6737,6738,0.0237,VEP
6737,6738,0.0226,VEP
6737,6738,0.0223,VEP
6737,6738,0.0241,VEP
6737,6738,0.0224,VEP
4953,6739,0.0241,VEP
4953,6739,0.0233,VEP
6740,6741,0.0342,VEP
6740,6741,0.019,VEP
4953,6639,0.0631,VEP
4953,6639,0.0432,VEP
4953,6639,0.061,VEP
4953,6639,0.0418,VEP
6742,6743,0.4033,VEP
6744,6743,0.4033,VEP
6742,6743,0.3757,VEP
6744,6743,0.3757,VEP
6745,6746,1.7,VEP
6747,6746,1.7,VEP
6748,6746,1.7,VEP
6692,6746,1.7,VEP
6754,6755,1.15,VEP
6756,6757,0.72,VEP
6758,6759,0.67,VEP
6758,6760,1.73,VEP
6761,6762,1.28,VEP
6763,6764,1.3,VEP
6765,6766,1.31,VEP
6767,6768,0.03,VEP
6706,6769,0.04,VEP
6672,6770,0.02,VEP
6672,6771,0.04,VEP
6772,6773,0.05,VEP
6504,6774,0.04,VEP
6692,6775,3.015,VEP
6720,6775,3.015,VEP
6748,6775,3.015,VEP
6692,6775,2.608,VEP
6720,6775,2.608,VEP
6748,6775,2.608,VEP
6776,6777,1.4164,VEP
6776,6777,1.2642,VEP
6720,6778,1.7361,VEP
6720,6778,2.01,VEP
6692,6775,2.869,VEP
6720,6775,2.869,VEP
6748,6775,2.869,VEP
6776,6779,1.146,VEP
6622,6780,0.645,VEP
6622,6781,0.175,VEP
6640,6782,0.477,VEP
6640,6783,1.985,VEP
6640,6784,0.473,VEP
6640,6785,1.199,VEP
6640,6786,0.521,VEP
6640,6787,0.346,VEP
6640,6785,1.26,VEP
6640,6788,0.179,VEP
6640,6789,0.713,VEP
6640,6787,0.358,VEP
683,6790,3.096,VEP
683,6790,0.703,VEP
683,6790,0.729,VEP
683,6790,0.084,VEP
683,6790,0.086,VEP
683,6791,0.742,VEP
683,6791,0.761,VEP
683,6792,30.38,VEP
683,6792,27.87,VEP
683,6793,3.92,VEP
683,6790,2.658,VEP
683,6793,3.094,VEP
683,6793,2.608,VEP
6698,6794,1.35,VEP
6795,6796,0.13,VEP
6797,6798,0.12,VEP
6799,6800,0.09,VEP
6799,6801,0.23,VEP
6504,6802,0.1,VEP
6706,6803,0.23,VEP
6804,6805,0.17,VEP
6804,6806,0.08,VEP
6817,6818,1.15,VEP
6576,6819,1.184,VEP
6707,6820,1.638,VEP
6821,6822,1.319,VEP
6823,6824,1.28,VEP
6827,6828,1.28,VEP
6829,6830,1.04,VEP
6831,6830,1.04,VEP
6832,6833,1.14,VEP
6834,6833,1.14,VEP
6835,6836,1.13,VEP
6837,6838,0.58,VEP
6839,6838,0.58,VEP
6840,6841,0.44,VEP
6842,6841,0.44,VEP
6843,6844,0.64,VEP
6845,6844,0.64,VEP
6846,6847,0.17,VEP
6850,6851,0.03580406,VEP
6852,6851,0.03580406,VEP
683,6851,0.03580406,VEP
6853,6851,0.03580406,VEP
6640,6854,0.03512,VEP
6855,6856,2.2,VEP
6857,6858,2.32,VEP
6859,6858,2.32,VEP
6860,6861,2.3,VEP
6862,6863,2.3,VEP
6857,6863,2.3,VEP
6859,6863,2.3,VEP
6864,6865,2.62,VEP
6866,6865,2.62,VEP
6772,6865,2.62,VEP
6867,6865,2.62,VEP
6747,6868,2.93,VEP
6869,6870,2.05,VEP
6590,6877,1.37,VEP
6712,6878,1.19,VEP
6713,6879,1.2,VEP
6713,6879,1.15,VEP
6712,6878,1.55,VEP
6713,6880,1.54,VEP
6622,6881,34.08,VEP
6882,6883,2.3255813,VEP
6884,6883,2.3255813,VEP
6885,6886,34.08,VEP
6887,6886,34.08,VEP
6767,6888,1.7499,VEP
6889,6890,2.2107,VEP
2353,6890,2.2107,VEP
6869,6891,2.2132,VEP
6772,6891,2.2132,VEP
6892,6891,2.2132,VEP
6893,6894,2.3765,VEP
6895,6894,2.3765,VEP
6896,6894,2.3765,VEP
6897,6898,3.0494,VEP
6899,6898,3.0494,VEP
6900,6898,3.0494,VEP
6901,6898,3.0494,VEP
6902,6898,3.0494,VEP
6737,6903,2.5034,VEP
6904,6905,2.1428,VEP
6704,6906,1.41,VEP
6745,6906,1.41,VEP
6747,6906,1.41,VEP
354,6907,1.33,VEP
6908,6909,1.58,VEP
6910,6909,1.58,VEP
6590,6591,1.37,VEP
6911,6912,0.0437,VEP
6748,6913,1.27,VEP
6747,6913,1.27,VEP
6902,6914,1.59,VEP
6900,6915,1.54,VEP
6897,6915,1.54,VEP
6866,6915,1.54,VEP
6899,6915,1.54,VEP
6916,6915,1.54,VEP
6917,6918,1.97,VEP
6919,6918,1.97,VEP
6748,6920,1.43,VEP
6795,6920,1.43,VEP
6747,6920,1.43,VEP
593,6921,0.159,VEP
590,6922,0.038,VEP
6827,6922,0.038,VEP
590,6923,0.056,VEP
6640,6924,2.94,VEP
6925,6926,19.77,VEP
154,6927,15.83,VEP
6928,6929,22.26,VEP
6586,6930,5.29,VEP
6931,6932,3.38,VEP
6622,6933,2.62,VEP
6934,6935,3.65,VEP
1755,6936,39.68,VEP
6622,6937,1.7,VEP
6938,6939,15.56,VEP
6940,6941,0.44,VEP
6942,6943,0.55,VEP
6928,6944,1.85,VEP
6945,6944,1.85,VEP
6928,6946,2.05,VEP
6945,6946,2.05,VEP
6928,6947,1.65,VEP
6945,6947,1.65,VEP
6928,6948,0.85,VEP
6945,6948,0.85,VEP
6928,6949,0.61,VEP
6945,6949,0.61,VEP
6950,6951,0.033,VEP
6952,6951,0.033,VEP
6953,6954,0.367,VEP
6955,6956,0.01,VEP
6957,6958,0.6,VEP
6959,6960,0.313,VEP
6961,6960,0.313,VEP
6940,6962,0.007,VEP
6963,6962,0.007,VEP
6964,6965,0.02,VEP
6372,6965,0.02,VEP
6966,6967,1.21,VEP
6968,6967,1.21,VEP
6622,6969,1.39,VEP
6970,6971,1.34,VEP
6772,6972,1.4,VEP
6672,6972,1.4,VEP
6745,6973,1.2821,VEP
6747,6973,1.2821,VEP
6650,6974,1.15,VEP
6650,6974,1.18,VEP
6975,6976,4.621,VEP
6977,6978,4.623,VEP
6979,6980,0.0328,VEP
6981,6982,7.73,VEP
6795,6983,1.66,VEP
6984,6983,1.66,VEP
6737,6983,1.66,VEP
6745,6983,1.66,VEP
6747,6983,1.66,VEP
6795,6985,1.36,VEP
6984,6985,1.36,VEP
6737,6985,1.36,VEP
6745,6985,1.36,VEP
6747,6985,1.36,VEP
6696,6986,1.32,VEP
6987,6986,1.32,VEP
1514,6986,1.32,VEP
